date,temperature
2023-01-01,11.165561867580813
2023-01-02,10.067687513885089
2023-01-03,11.811573748433922
2023-01-04,13.73408398083925
2023-01-05,10.391341237927794
2023-01-06,10.562743060575986
2023-01-07,14.36050608000831
2023-01-08,12.907657179438464
2023-01-09,10.604139434772907
2023-01-10,12.798051528986706
2023-01-11,10.955431712807517
2023-01-12,11.11958549154568
2023-01-13,12.703139673173723
2023-01-14,8.560167170743906
2023-01-15,9.103697286135805
2023-01-16,11.59500651685911
2023-01-17,10.859162088137243
2023-01-18,13.67770691175344
2023-01-19,11.396648465881222
2023-01-20,10.550621593270549
2023-01-21,16.468058759606823
2023-01-22,13.24569282793366
2023-01-23,13.991690471811918
2023-01-24,11.165383519632815
2023-01-25,13.083170577072803
2023-01-26,14.549601104924045
2023-01-27,12.180306262559501
2023-01-28,15.38689874571985
2023-01-29,13.586061021320276
2023-01-30,14.354368002013219
2023-01-31,13.88329621406225
2023-02-01,18.938712442673378
2023-02-02,15.353057265907129
2023-02-03,13.408931273764395
2023-02-04,17.312107387117553
2023-02-05,13.366315434595965
2023-02-06,16.364994059617146
2023-02-07,12.16542845339171
2023-02-08,13.564095386611815
2023-02-09,16.74804548064002
2023-02-10,17.963228770340635
2023-02-11,16.95908274480272
2023-02-12,16.513139623552973
2023-02-13,16.26832028105809
2023-02-14,14.037539289781616
2023-02-15,15.676877806028328
2023-02-16,16.315162841039548
2023-02-17,19.468414682077686
2023-02-18,18.156957456102475
2023-02-19,14.056977774060154
2023-02-20,18.34231620762897
2023-02-21,17.03279394987512
2023-02-22,16.555612566955855
2023-02-23,19.2369634594285
2023-02-24,20.17738963506551
2023-02-25,20.07732577125654
2023-02-26,16.6332712172128
2023-02-27,17.787759304642357
2023-02-28,19.160697778082405
2023-03-01,20.538729837002748
2023-03-02,17.716215071605387
2023-03-03,18.387599098114798
2023-03-04,16.62800515142158
2023-03-05,16.527400216434145
2023-03-06,20.62136034131083
2023-03-07,21.782618185168005
2023-03-08,18.997259638692668
2023-03-09,21.216778672950394
2023-03-10,19.998688885887233
2023-03-11,18.048132779019003
2023-03-12,20.12135179043578
2023-03-13,22.532037007203364
2023-03-14,19.438913084731634
2023-03-15,22.691635577547068
2023-03-16,14.371807630543518
2023-03-17,21.301204385298995
2023-03-18,19.874733354991413
2023-03-19,19.142989850792468
2023-03-20,19.962004968127573
2023-03-21,15.83792687351431
2023-03-22,19.4053943918459
2023-03-23,20.587719566963358
2023-03-24,22.855113040356564
2023-03-25,18.885681657632027
2023-03-26,18.325191863153144
2023-03-27,18.955675874302717
2023-03-28,21.804053966485704
2023-03-29,20.64185643087501
2023-03-30,18.932979704862756
2023-03-31,21.02421988602562
2023-04-01,20.19406249605798
2023-04-02,21.936456567613156
